sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
LIB05-TL64M-nc,NA,NA,NA,NA,NA,1.0,1142,3,423,94979
LIB05-TL64Q-nc,NA,NA,NA,NA,NA,1.0,674,3,229,48936
LIB06-MH-19-01-nc,NA,NA,NA,NA,NA,1.0,989,3,297,106667
LIB06-MH-19-02-nc,NA,NA,NA,NA,NA,1.0,1573,3,500,164805
LIB06-MH-19-03-nc,NA,NA,NA,NA,NA,1.0,808,3,240,89667
LIB06-MH-19-05-nc,NA,NA,NA,NA,NA,1.0,1302,3,461,229524
LIB06-MH-19-06-nc,NA,NA,NA,NA,NA,1.0,1316,3,541,365713
LIB06-MH-19-07-nc,NA,NA,NA,NA,NA,1.0,123,3,27,5123
LIB06-MH-19-08-nc,NA,NA,NA,NA,NA,1.0,4649,3,1392,481756
LIB06-MH-19-09-nc,NA,NA,NA,NA,NA,1.0,275,3,59,19936
LIB06-MH-19-12-nc,NA,NA,NA,NA,NA,1.0,908,3,303,123875
LIB06-MH-19-13-nc,NA,NA,NA,NA,NA,1.0,1322,3,389,212000
LIB06-MH-19-14-nc,NA,NA,NA,NA,NA,1.0,825,3,223,78636
LIB06-MH-19-15-nc,NA,NA,NA,NA,NA,1.0,4,3,0,0
LIB06-MH-19-16-nc,NA,NA,NA,NA,NA,1.0,1359,3,424,143439
LIB06-MH-19-17-nc,NA,NA,NA,NA,NA,1.0,1869,3,540,160886
LIB06-MH-19-18-nc,NA,NA,NA,NA,NA,1.0,2042,3,588,206386
LIB06-MH-19-19-nc,NA,NA,NA,NA,NA,1.0,1136,3,288,98548
LIB07-01-07-nc,NA,NA,NA,NA,NA,1.0,761,3,369,92435
LIB07-01-08-nc,NA,NA,NA,NA,NA,1.0,1078,3,527,163134
LIB07-01-09-nc,NA,NA,NA,NA,NA,1.0,577,3,150,26391
LIB07-01-10-nc,NA,NA,NA,NA,NA,1.0,956,3,329,100934
LIB07-01-11-nc,NA,NA,NA,NA,NA,1.0,48,3,9,1472
LIB07-02-10-nc,NA,NA,NA,NA,NA,1.0,292,3,67,14848
LIB07-Positive-P03-B4-nc,NA,NA,NA,NA,NA,1.0,291,3,126,38563
